GPT category single,Rule topic single cleaned,Count
Geographic,Doxxing/ Personal Info,267
Geographic,Mis/Disinformation/Conspiracy,256
Geographic,Advertising & Commercialization,210
Geographic,Images,205
Geographic,Automated tools,113
Geographic,Copyright/ Piracy,67
Geographic,Impersonation,60
Geographic,Off-topic/topic specific,56
Geographic,Trolling,52
Geographic,Dogpiling,50
Geographic,Links & Outside Content,49
Geographic,Not Applicable,47
Geographic,Reposting/Crossposting,31
Ideology,Hate Speech,290
Ideology,Harassment,165
Ideology,Illegal Content,107
Ideology,NSFW,96
Ideology,Mis/Disinformation/Conspiracy,95
Ideology,Content Warnings,88
Ideology,Spam,86
Ideology,Images,79
Ideology,Doxxing/ Personal Info,66
Ideology,Advertising & Commercialization,62
Ideology,Incitement of Violence,62
Ideology,Automated tools,36
Ideology,Links & Outside Content,33
Ideology,Off-topic/topic specific,30
Ideology,Trolling,28
Ideology,Impersonation,24
Ideology,Copyright/ Piracy,20
Ideology,Not Applicable,20
Ideology,Reposting/Crossposting,17
Ideology,Dogpiling,14
Interests,Hate Speech,594
Interests,Harassment,406
Interests,NSFW,360
Interests,Illegal Content,335
Interests,Content Warnings,287
Interests,Spam,218
Interests,Images,211
Interests,Incitement of Violence,190
Interests,Doxxing/ Personal Info,173
Interests,Mis/Disinformation/Conspiracy,154
Interests,Advertising & Commercialization,152
Interests,Off-topic/topic specific,95
Interests,Copyright/ Piracy,92
Interests,Automated tools,87
Interests,Impersonation,72
Interests,Links & Outside Content,61
Interests,Not Applicable,59
Interests,Trolling,46
Interests,Dogpiling,40
Interests,Reposting/Crossposting,26
LGBTQ,Hate Speech,242
LGBTQ,NSFW,145
LGBTQ,Content Warnings,133
LGBTQ,Harassment,131
LGBTQ,Illegal Content,115
LGBTQ,Spam,64
LGBTQ,Images,59
LGBTQ,Doxxing/ Personal Info,56
LGBTQ,Incitement of Violence,52
LGBTQ,Mis/Disinformation/Conspiracy,44
LGBTQ,Advertising & Commercialization,40
LGBTQ,Automated tools,32
LGBTQ,Copyright/ Piracy,24
LGBTQ,Not Applicable,23
LGBTQ,Off-topic/topic specific,21
LGBTQ,Dogpiling,20
LGBTQ,Trolling,20
LGBTQ,Links & Outside Content,18
LGBTQ,Impersonation,16
LGBTQ,Reposting/Crossposting,13
Memes,Hate Speech,17
Memes,Harassment,10
Memes,NSFW,7
Memes,Content Warnings,5
Memes,Doxxing/ Personal Info,5
Memes,Spam,5
Memes,Advertising & Commercialization,3
Memes,Illegal Content,3
Memes,Impersonation,3
Memes,Incitement of Violence,2
Memes,Mis/Disinformation/Conspiracy,2
Memes,Automated tools,1
Memes,Copyright/ Piracy,1
Memes,Dogpiling,1
Memes,Images,1
Memes,Not Applicable,1
Memes,Trolling,1
N/A,Hate Speech,252
N/A,Harassment,158
N/A,Illegal Content,142
N/A,NSFW,109
N/A,Content Warnings,88
N/A,Spam,71
N/A,Doxxing/ Personal Info,68
N/A,Images,65
N/A,Incitement of Violence,61
N/A,Mis/Disinformation/Conspiracy,54
N/A,Advertising & Commercialization,42
N/A,Trolling,26
N/A,Automated tools,21
N/A,Off-topic/topic specific,21
N/A,Links & Outside Content,20
N/A,Impersonation,18
N/A,Copyright/ Piracy,17
N/A,Dogpiling,13
N/A,Not Applicable,13
N/A,Reposting/Crossposting,5
News,Hate Speech,34
News,Harassment,32
News,Mis/Disinformation/Conspiracy,21
News,Doxxing/ Personal Info,17
News,Illegal Content,17
News,Incitement of Violence,17
News,Images,16
News,Spam,15
News,Content Warnings,13
