instance,rules_preelon,rules_postelon2023,rules_postelon2024,changed_preelon_postelon2023,changed_postelon2023_postelon2024
pol.social,"[{""id"": ""1"", ""text"": ""Na serwerze obowiązują ogólne zasady Netykiety ( https://pl.wikipedia.org/wiki/Netykieta )\r\nZwracamy się do siebie z szacunkiem.""}, {""id"": ""2"", ""text"": ""Nie dopuszczamy poniższych rzeczy:\r\n- Pornografii\r\n- Przemocy seksualnej\r\n- Homofobii, transfobi, ksenofobi\r\n- Rasizmu, seksizmu\r\n- Fake newsów\r\n- Przemocy w każdej formie do innych użytkowników\r\n- Treści niedozwolonych polskim prawem.""}]","[{""id"": ""1"", ""text"": ""Na serwerze obowiązują ogólne zasady Netykiety ( https://pl.wikipedia.org/wiki/Netykieta )\r\nZwracamy się do siebie z szacunkiem.""}, {""id"": ""2"", ""text"": ""Nie dopuszczamy poniższych rzeczy:\r\n- Pornografii\r\n- Przemocy seksualnej\r\n- Homofobii, transfobi, ksenofobi\r\n- Rasizmu, seksizmu\r\n- Fake newsów\r\n- Przemocy w każdej formie do innych użytkowników\r\n- Treści niedozwolonych polskim prawem.""}]",,False,True
cosocial.ca,"[{""id"": ""1"", ""text"": ""Do not post or share any content that is illegal in Canada""}, {""id"": ""2"", ""text"": ""Do not harass, dogpile, or dox users on this server or other servers""}, {""id"": ""3"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, casteism, fatphobia, or other forms of bigotry""}, {""id"": ""4"", ""text"": ""NSFW content and depictions of violence must be behind a content warning.""}, {""id"": ""5"", ""text"": ""Do not share intentionally false or misleading information.""}, {""id"": ""7"", ""text"": ""CoSocial.ca is a service for the members of the CoSocial Community Cooperative.""}, {""id"": ""8"", ""text"": ""CoSocial is for Canadian residents.""}, {""id"": ""9"", ""text"": ""CoSocial is for people 18 and over.""}, {""id"": ""10"", ""text"": ""Business accounts are allowed, but don't spam or engage in excessive commercial posting.""}, {""id"": ""11"", ""text"": ""Read and follow the full Code of Conduct and Acceptable Use Policy section of our Terms of Service, available at https://cosocial.ca/terms#coc""}]",,,True,True
woof.group,"[{""id"": ""1"", ""text"": ""Be kind!"", ""hint"": """"}, {""id"": ""2"", ""text"": ""If it'd be fine in a bar or public leather event space, it doesn't need a flag here. Use sensitive media flags or content warnings for things you'd take to the back bar or a private room. "", ""hint"": """"}, {""id"": ""3"", ""text"": ""We're trans-inclusive, body-positive, and anti-racist here."", ""hint"": """"}, {""id"": ""4"", ""text"": ""You must be over 18 years of age."", ""hint"": """"}, {""id"": ""5"", ""text"": ""You must have the legal rights to any content you post."", ""hint"": """"}, {""id"": ""6"", ""text"": ""When you apply, tell us a bit about your connection to queer leather/kink/BDSM."", ""hint"": """"}]",,"[{""id"": ""1"", ""text"": ""Be kind!"", ""hint"": """"}, {""id"": ""2"", ""text"": ""If it'd be fine in a bar or public leather event space, it doesn't need a flag here. Use sensitive media flags or content warnings for things you'd take to the back bar or a private room. "", ""hint"": """"}, {""id"": ""3"", ""text"": ""We're trans-inclusive, body-positive, and anti-racist here."", ""hint"": """"}, {""id"": ""4"", ""text"": ""You must be over 18 years of age."", ""hint"": """"}, {""id"": ""5"", ""text"": ""You must have the legal rights to any content you post."", ""hint"": """"}, {""id"": ""6"", ""text"": ""When you apply, tell us a bit about your connection to queer leather/kink/BDSM."", ""hint"": """"}]",True,True
uuchten.lu,"[{""id"": ""1"", ""text"": ""Op dësem Server sinn onerwënscht:\r\n\r\n- Duerstellunge vu Gewalt,\r\n- Opruff zu Hass\r\n- Diskriminéierung\r\n- Fakenews\r\n\r\nDës Lëscht ass net ofgeschloss a wiisst mat der Phantasie vun de BenotzerInnen.""}]",,,True,True
g0v.social,"[{""id"": ""1"", ""text"": ""https://g0v.social/terms""}, {""id"": ""4"", ""text"": ""遵守參與守則 code of conduct https://g0v.hackmd.io/s/COC""}, {""id"": ""5"", ""text"": ""閱讀使用說明 \r\n\r\nhttps://siaulian.wordpress.com/2021/01/14/mastodon-taiwan-user-guide/\r\n""}, {""id"": ""12"", ""text"": ""Taiwan is a country""}, {""id"": ""13"", ""text"": ""閱讀使用說明\r\nhttps://www.notion.so/peilun/Mastodon-9257c3e1cd3f42ae9902d6fc9cda6320""}, {""id"": ""16"", ""text"": ""多說做了什麼，少說看了什麼\r\n\r\nPost what you did, not what you saw""}]","[{""id"": ""1"", ""text"": ""https://g0v.social/terms""}, {""id"": ""4"", ""text"": ""遵守參與守則 code of conduct https://g0v.hackmd.io/s/COC""}, {""id"": ""5"", ""text"": ""閱讀使用說明 \r\n\r\nhttps://siaulian.wordpress.com/2021/01/14/mastodon-taiwan-user-guide/\r\n""}, {""id"": ""12"", ""text"": ""Taiwan is a country""}, {""id"": ""13"", ""text"": ""閱讀使用說明\r\nhttps://www.notion.so/peilun/Mastodon-9257c3e1cd3f42ae9902d6fc9cda6320""}, {""id"": ""16"", ""text"": ""多說做了什麼，少說看了什麼\r\n\r\nPost what you did, not what you saw""}]",,False,True
oslo.town,"[{""id"": ""7"", ""text"": ""Treat people with kindness 💖 🏳️‍🌈""}, {""id"": ""10"", ""text"": ""No racism, homophobia, xenophobia, sexism, discrimination, nazis. 🛑""}, {""id"": ""12"", ""text"": ""Report bad or suspicious activity ⚠️  Use the block button when needed 🚫  Try not to argue with other members 😡""}, {""id"": ""19"", ""text"": ""Use a Content Warning (CW) when posting sexual, graphic, and potentially triggering subject matters 🫣""}, {""id"": ""20"", ""text"": ""Think carefully before sharing personal information 🔐 ""}, {""id"": ""21"", ""text"": ""No robots 🤖 ""}]",,"[{""id"": ""7"", ""text"": ""Treat people with kindness 💖""}, {""id"": ""10"", ""text"": ""No racism, homophobia, xenophobia, sexism, discrimination, nazis. 🛑""}, {""id"": ""12"", ""text"": ""Report bad or suspicious activity ⚠️  Use the block button when needed 🚫 ""}, {""id"": ""19"", ""text"": ""Use a Content Warning (CW) when posting sexual, graphic, and potentially triggering subject matters 🫣""}, {""id"": ""20"", ""text"": ""Think carefully before sharing personal information 🔐 ""}, {""id"": ""21"", ""text"": ""Bleep-bloop-bleep. No robots 🤖 ""}]",True,True
sciencemastodon.com,"[{""id"": ""6"", ""text"": ""Please be as kind, polite, and understanding as you would be in a cocktail party of friends and strangers. Harassment, racism, bullying will get you shown to the door.""}, {""id"": ""2"", ""text"": ""Users may not be anonymous, at least while this site is in its infancy. ""}, {""id"": ""4"", ""text"": ""Users should be scientists or journalists. ""}, {""id"": ""5"", ""text"": ""If your application is rejected, please see rules 2 and/or 3.""}]",,"[{""id"": ""6"", ""text"": ""Please be as kind, polite, and understanding as you would be in a cocktail party of friends and strangers. Harassment, racism, bullying will get you shown to the door.""}, {""id"": ""2"", ""text"": ""Users may not be anonymous, at least while this site is in its infancy. ""}, {""id"": ""4"", ""text"": ""Users should be scientists or journalists. ""}, {""id"": ""5"", ""text"": ""If your application is rejected, please see rules 2 and/or 3.""}]",True,True
social.treehouse.systems,"[{""id"": ""1"", ""text"": ""NSFW content (you know what this is) must be posted behind a content warning.  Anything else where a content warning makes reasonable sense should probably have one.""}, {""id"": ""3"", ""text"": ""Respect people's boundaries, if you don't, you will be banned.  We have a zero-tolerance policy.""}, {""id"": ""4"", ""text"": ""Doxing will not be tolerated.  Again, zero-tolerance policy and all that.""}, {""id"": ""5"", ""text"": ""Office politics stay at the office.  Some of us don't want to talk about work all the time.""}]",,,True,True
mastodon.math.unipd.it,"[{""id"": ""1"", ""text"": ""- use 'mastodon.math.unipd.it' as server""}]",,"[{""id"": ""1"", ""text"": ""- use 'mastodon.math.unipd.it' as server""}]",True,True
veganism.social,"[{""id"": ""25"", ""text"": ""No speciesism, animal abuse, carnists, omnivores, vegetarians, or other non-vegans""}, {""id"": ""26"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""27"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, fatphobia, or casteism""}, {""id"": ""28"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""29"", ""text"": ""No harassment or doxxing of other users""}, {""id"": ""30"", ""text"": ""Do not share intentionally false or misleading information""}]",,"[{""id"": ""25"", ""text"": ""No speciesism, animal abuse, carnists, omnivores, vegetarians, or other non-vegans""}, {""id"": ""26"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""27"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, fatphobia, or casteism""}, {""id"": ""28"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""29"", ""text"": ""No harassment or doxxing of other users""}, {""id"": ""30"", ""text"": ""Do not share intentionally false or misleading information""}]",True,True
podcastindex.social,"[{""id"": ""1"", ""text"": ""Not for promotion of podcasts. ""}]","[{""id"": ""1"", ""text"": ""Not for promotion of podcasts. ""}]",,False,True
akademienl.social,"[{""id"": ""2"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, able-ism, etc."", ""hint"": """", ""translations"": {}}, {""id"": ""3"", ""text"": ""No incitement of violence, promotion of violent ideologies or violent behaviour of any manner."", ""hint"": """", ""translations"": {}}, {""id"": ""4"", ""text"": ""No doxxing, dogpiling or harassment in any form of other users."", ""hint"": """", ""translations"": {}}, {""id"": ""5"", ""text"": ""No spam, bots or advertisements. "", ""hint"": """", ""translations"": {}}, {""id"": ""6"", ""text"": ""No media and content which is sexual or violent in nature."", ""hint"": """", ""translations"": {}}, {""id"": ""7"", ""text"": ""No harmful, manipulated, or misleading information (e.g., regarding elections, public health)"", ""hint"": """", ""translations"": {}}, {""id"": ""8"", ""text"": ""In order to be able to moderate this server, posts need to either be written in Dutch or English."", ""hint"": """", ""translations"": {}}]","[{""id"": ""2"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, able-ism, etc."", ""hint"": """", ""translations"": {}}, {""id"": ""3"", ""text"": ""No incitement of violence, promotion of violent ideologies or violent behaviour of any manner."", ""hint"": """", ""translations"": {}}, {""id"": ""4"", ""text"": ""No doxxing, dogpiling or harassment in any form of other users."", ""hint"": """", ""translations"": {}}, {""id"": ""5"", ""text"": ""No spam, bots or advertisements. "", ""hint"": """", ""translations"": {}}, {""id"": ""6"", ""text"": ""No media and content which is sexual or violent in nature."", ""hint"": """", ""translations"": {}}, {""id"": ""7"", ""text"": ""No harmful, manipulated, or misleading information (e.g., regarding elections, public health)"", ""hint"": """", ""translations"": {}}, {""id"": ""8"", ""text"": ""In order to be able to moderate this server, posts need to either be written in Dutch or English."", ""hint"": """", ""translations"": {}}]",,False,True
pub.osrx.social,"[{""id"": ""1"", ""text"": ""Keine Hassrede, Hetze, Rassismus oder Mobbing."", ""hint"": """"}]","[{""id"": ""1"", ""text"": ""Keine Hassrede, Hetze, Rassismus oder Mobbing."", ""hint"": """"}]",,False,True
dbg.social,"[{""id"": ""2"", ""text"": ""No content illegal in the US""}, {""id"": ""3"", ""text"": ""Treat everyone with respect""}, {""id"": ""4"", ""text"": ""No intentionally misleading information""}]","[{""id"": ""2"", ""text"": ""No content illegal in the US""}, {""id"": ""3"", ""text"": ""Treat everyone with respect""}, {""id"": ""4"", ""text"": ""No intentionally misleading information""}]",,False,True
ioc.exchange,"[{""id"": ""1"", ""text"": ""Be Nice!""}, {""id"": ""2"", ""text"": ""Mark sensitive content with a content warning.""}, {""id"": ""3"", ""text"": ""No Spam and No Advertisement. (Promoting your own work is fine.)""}, {""id"": ""4"", ""text"": ""No Hate Speech!""}, {""id"": ""5"", ""text"": ""Reason for joining: What is your connection to the infosec/cybersecurity community?""}]","[{""id"": ""1"", ""text"": ""Be Nice!""}, {""id"": ""2"", ""text"": ""Mark sensitive content with a content warning.""}, {""id"": ""3"", ""text"": ""No Spam and No Advertisement. (Promoting your own work is fine.)""}, {""id"": ""4"", ""text"": ""No Hate Speech!""}, {""id"": ""5"", ""text"": ""Reason for joining: What is your connection to the infosec/cybersecurity community?""}]",,False,True
