,Instance Id,Instance Name,Is Dead,User Count,instance_group,rule count
0,5e2d775752919e2c36ee1486,mastodon.bits-und-baeume.org,FALSE,73,51 to 150,0
1,638774ee00061b0911565e6f,swiftdevs.space,FALSE,3,1 to 5,1
2,661f9718da26e0e0f356ce42,2000.moe,FALSE,1,1 to 5,0
3,637b2cacd94dca7f11e7a8ee,social.opendesktop.org,FALSE,1461,501 to 1500,0
4,6500eb4ca6bdcdea07269802,mastodon.jamidisi-edu.de,FALSE,14,6 to 15,6
5,653599133dca08520c1a41b2,live.isekco.re,FALSE,1,1 to 5,0
6,6546aef755c2c024c724b687,1uca.com,FALSE,10,6 to 15,5
7,66737078d38045af43d2416c,masto.mbajur.com,FALSE,1,1 to 5,0
8,65f350b5fbb65f378d28842c,astatidelgbt.wpcomstaging.com,FALSE,1,1 to 5,0
9,637b34c1d94dca7f11e7c938,india.goonj.xyz,FALSE,327,151 to 500,7
10,6422ca1490a4f8e00b1faaaf,kleinebackstube.org,FALSE,1,1 to 5,0
11,63b8e54eb236d0faa745b0ce,usuzakuraya.us,FALSE,5,1 to 5,1
12,6692909af04f6efc4c4e2855,crafty.social,FALSE,1,1 to 5,0
13,637b31c5d94dca7f11e7bd5c,metapixl.com,FALSE,5304,5001+,8
14,65a1f24772aba03a13060d6a,mastodon.endtech.fr,FALSE,1,1 to 5,0
15,63a3b58cddbeac0b83c2e20b,paw.best,FALSE,9,6 to 15,3
16,66628ba01b2687e24710f8d9,pixelfed.utopia-valley.com,FALSE,2,1 to 5,0
17,637b2fb6d94dca7f11e7b52d,soundbyte.social,FALSE,2,1 to 5,13
18,66218076bceb9363081d7a6f,fioredon.ysizuku.com,FALSE,2,1 to 5,4
19,63a0f5731ed811d9ed0666bc,m.poitr.us,FALSE,1,1 to 5,0
20,5a61276e46fe0471227f118c,djs.social,FALSE,40,16 to 50,10
21,63e73992cd10fe0fdb4fa13f,zeppelin.flights,FALSE,26,16 to 50,1
